CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS
2101707;Barreirinhas;139;139;100.0;29;110;1;5;133;6;4.32;99.28;97.84;10.79;32.37;33.09;2.16;3.6;4.32;10.07;92.81;6.47;61.15;89.93;28.06;7.91;44.6;4.32;0.0;35.97;129.0;96.9;129;71;0;560;288;31;51.43;5.54
2101731;Belágua;44;44;100.0;9;35;0;3;41;3;6.82;88.64;100.0;0.0;20.45;13.64;0.0;4.55;2.27;6.82;50.0;4.55;11.36;6.82;22.73;2.27;75.0;0.0;0.0;25.0;22.0;13.64;26;3;0;221;55;7;24.89;3.17
2101772;Bela Vista do Maranhão;20;20;100.0;8;12;0;1;19;1;5.0;90.0;100.0;0.0;60.0;10.0;0.0;5.0;0.0;15.0;95.0;10.0;45.0;85.0;25.0;25.0;65.0;0.0;0.0;35.0;19.0;89.47;27;3;0;92;84;21;91.3;22.83
2101806;Benedito Leite;11;11;100.0;4;7;0;2;9;2;18.18;100.0;100.0;9.09;63.64;18.18;9.09;18.18;0.0;0.0;81.82;18.18;27.27;72.73;18.18;0.0;27.27;0.0;0.0;54.55;9.0;88.89;9;6;0;43;7;0;16.28;0.0
2101905;Bequimão;27;27;100.0;8;19;0;3;24;2;7.41;96.3;100.0;0.0;29.63;37.04;0.0;3.7;7.41;3.7;92.59;55.56;81.48;81.48;29.63;7.41;85.19;7.41;0.0;11.11;25.0;88.0;16;15;35;153;8;19;5.23;12.42
2101939;Bernardo do Mearim;15;15;100.0;4;11;0;2;13;2;13.33;100.0;100.0;0.0;60.0;20.0;0.0;6.67;40.0;13.33;73.33;6.67;40.0;60.0;13.33;6.67;13.33;6.67;6.67;40.0;11.0;81.82;24;1;0;69;59;22;85.51;31.88
2101970;Boa Vista do Gurupi;15;15;100.0;7;8;0;1;14;1;6.67;100.0;100.0;0.0;53.33;46.67;0.0;6.67;26.67;40.0;93.33;6.67;93.33;93.33;40.0;0.0;93.33;13.33;0.0;6.67;14.0;100.0;9;12;0;74;45;16;60.81;21.62
2102002;Bom Jardim;104;104;100.0;12;92;0;12;92;6;5.77;84.62;99.04;0.0;30.77;13.46;0.0;2.88;3.85;2.88;82.69;22.12;66.35;77.88;23.08;19.23;43.27;1.92;0.0;54.81;86.0;94.19;24;16;40;379;158;66;41.69;17.41
2102036;Bom Jesus das Selvas;51;51;100.0;15;36;0;3;48;2;3.92;98.04;100.0;1.96;39.22;17.65;3.92;7.84;13.73;9.8;94.12;29.41;62.75;74.51;33.33;9.8;49.02;0.0;0.0;45.1;48.0;79.17;41;14;37;253;134;101;52.96;39.92
2102077;Bom Lugar;20;20;100.0;4;16;0;1;19;1;5.0;95.0;100.0;15.0;75.0;5.0;0.0;25.0;10.0;40.0;100.0;30.0;95.0;100.0;70.0;40.0;85.0;10.0;0.0;0.0;20.0;100.0;67;16;0;107;98;69;91.59;64.49
2102101;Brejo;69;69;100.0;17;52;0;5;64;5;7.25;100.0;98.55;0.0;26.09;17.39;4.35;5.8;8.7;8.7;92.75;11.59;36.23;91.3;42.03;8.7;84.06;0.0;0.0;1.45;64.0;98.44;105;46;46;354;156;65;44.07;18.36
2102150;Brejo de Areia;31;31;100.0;4;27;0;2;29;2;6.45;38.71;100.0;0.0;22.58;3.23;0.0;3.23;0.0;35.48;45.16;35.48;41.94;38.71;9.68;0.0;16.13;0.0;0.0;80.65;14.0;85.71;8;13;0;137;1;21;0.73;15.33
2102200;Buriti;63;63;100.0;11;52;0;4;59;4;6.35;92.06;100.0;1.59;20.63;15.87;1.59;1.59;1.59;3.17;79.37;4.76;31.75;66.67;12.7;3.17;47.62;0.0;0.0;52.38;50.0;84.0;19;17;7;290;69;14;23.79;4.83
2102309;Buriti Bravo;43;43;100.0;22;21;0;3;40;3;6.98;97.67;100.0;11.63;48.84;37.21;2.33;9.3;4.65;18.6;90.7;11.63;30.23;88.37;41.86;6.98;69.77;4.65;0.0;20.93;39.0;97.44;45;20;0;196;49;65;25.0;33.16
2102325;Buriticupu;84;84;100.0;19;65;1;12;71;7;8.33;91.67;98.81;2.38;46.43;29.76;2.38;1.19;21.43;13.1;89.29;25.0;57.14;82.14;26.19;19.05;39.29;1.19;0.0;58.33;75.0;92.0;72;22;42;489;141;144;28.83;29.45
